class,ERR1754760,ERR1754761,ERR1754762,ERR1754763,ERR1754764,ERR1754765,ERR1754766,ERR1754767,ERR1754768,ERR1754769
sk__Bacteria;p__Bacteroidetes;c__Saprospiria,346.0,175.0,48.0,1206.0,269.0,81.0,302.0,415.0,91.0,587.0
sk__Bacteria;p__Bacteroidetes;c__Saprospiria,346.0,175.0,48.0,1206.0,269.0,81.0,302.0,415.0,91.0,587.0
sk__Bacteria;p__Bacteroidetes;c__Saprospiria,346.0,175.0,48.0,1206.0,269.0,81.0,302.0,415.0,91.0,587.0
sk__Bacteria;p__Bacteroidetes;c__Saprospiria,346.0,175.0,48.0,1206.0,269.0,81.0,302.0,415.0,91.0,587.0
sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia,457.0,557.0,253.0,1043.0,582.0,371.0,407.0,503.0,131.0,1178.0
sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia,457.0,557.0,253.0,1043.0,582.0,371.0,407.0,503.0,131.0,1178.0
sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia,457.0,557.0,253.0,1043.0,582.0,371.0,407.0,503.0,131.0,1178.0
sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia,457.0,557.0,253.0,1043.0,582.0,371.0,407.0,503.0,131.0,1178.0
sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia,457.0,557.0,253.0,1043.0,582.0,371.0,407.0,503.0,131.0,1178.0
sk__Bacteria;p__Calditrichaeota;c__Calditrichae,3.0,6.0,0.0,1.0,14.0,9.0,17.0,11.0,0.0,2.0
sk__Bacteria;p__Candidatus Azambacteria;c__,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0
sk__Bacteria;p__Candidatus Campbellbacteria;c__,1.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,1.0,0.0
sk__Bacteria;p__Candidatus Kaiserbacteria;c__,4.0,3.0,2.0,11.0,6.0,1.0,7.0,8.0,1.0,2.0
sk__Bacteria;p__Candidatus Komeilibacteria;c__,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
sk__Bacteria;p__Candidatus Lloydbacteria;c__,1.0,2.0,1.0,5.0,8.0,7.0,6.0,9.0,1.0,4.0
